window_start,window_end,articles,status
2025-09-01,2025-09-04 00:00:00,106,complete
2025-09-05,2025-09-08 00:00:00,116,complete
2025-09-09,2025-09-12 00:00:00,129,complete
2025-09-13,2025-09-16 00:00:00,88,complete
2025-09-17,2025-09-20 00:00:00,133,complete
2025-09-21,2025-09-24 00:00:00,134,complete
2025-09-25,2025-09-28 00:00:00,143,complete
2025-09-29,2025-10-02 00:00:00,103,complete
2025-10-03,2025-10-06 00:00:00,99,complete
2025-10-07,2025-10-10 00:00:00,135,complete
2025-10-11,2025-10-14 00:00:00,119,complete
2025-10-15,2025-10-18 00:00:00,139,complete
2025-10-19,2025-10-22 00:00:00,116,complete
2025-10-23,2025-10-26 00:00:00,143,complete
2025-10-27,2025-10-30 00:00:00,250,TRUNCATED
2025-10-31,2025-11-03 00:00:00,100,complete
2025-11-04,2025-11-07 00:00:00,146,complete
2025-11-08,2025-11-11 00:00:00,116,complete
2025-11-12,2025-11-15 00:00:00,195,complete
2025-11-16,2025-11-19 00:00:00,151,complete
2025-11-20,2025-11-23 00:00:00,132,complete
2025-11-24,2025-11-27 00:00:00,141,complete
2025-11-28,2025-12-01 00:00:00,101,complete
2025-12-02,2025-12-05 00:00:00,171,complete
2025-12-06,2025-12-09 00:00:00,84,complete
2025-12-10,2025-12-13 00:00:00,117,complete
2025-12-14,2025-12-17 00:00:00,119,complete
2025-12-18,2025-12-21 00:00:00,101,complete
2025-12-22,2025-12-25 00:00:00,124,complete
2025-12-26,2025-12-29 00:00:00,105,complete
2025-12-30,2026-01-02 00:00:00,110,complete
2026-01-03,2026-01-06 00:00:00,107,complete
2026-01-07,2026-01-10 00:00:00,121,complete
2026-01-11,2026-01-14 00:00:00,99,complete
2026-01-15,2026-01-18 00:00:00,74,complete
2026-01-19,2026-01-22 00:00:00,102,complete
2026-01-23,2026-01-26 00:00:00,70,complete
2026-01-27,2026-01-30 00:00:00,66,complete
2026-01-31,2026-02-03 00:00:00,67,complete
2026-02-04,2026-02-07 00:00:00,86,complete
2026-02-08,2026-02-11 00:00:00,84,complete
2026-02-12,2026-02-15 00:00:00,55,complete
2026-02-16,2026-02-19 00:00:00,82,complete
2026-02-20,2026-02-23 00:00:00,73,complete
2026-02-24,2026-02-27 00:00:00,88,complete
2026-02-28,2026-03-03 00:00:00,93,complete
2026-03-04,2026-03-07 00:00:00,112,complete
2026-03-08,2026-03-11 00:00:00,81,complete
2026-03-12,2026-03-15 00:00:00,79,complete
2026-03-16,2026-03-19 00:00:00,96,complete
2026-03-20,2026-03-23 00:00:00,87,complete
2026-03-24,2026-03-27 00:00:00,98,complete
2026-03-28,2026-03-31 00:00:00,201,complete
2026-04-01,2026-04-04 00:00:00,99,complete
2026-04-05,2026-04-08 00:00:00,88,complete
2026-04-09,2026-04-12 00:00:00,84,complete
2026-04-13,2026-04-16 00:00:00,92,complete
2026-04-17,2026-04-20 00:00:00,75,complete
2026-04-21,2026-04-24 00:00:00,73,complete
2026-04-25,2026-04-28 00:00:00,57,complete
2026-04-29,2026-05-02 00:00:00,49,complete
2026-05-03,2026-05-06 00:00:00,65,complete
2026-05-07,2026-05-10 00:00:00,71,complete
2026-05-11,2026-05-14 00:00:00,79,complete
2026-05-15,2026-05-18 00:00:00,68,complete
2026-05-19,2026-05-22 00:00:00,68,complete
2026-05-23,2026-05-26 00:00:00,54,complete
2026-05-27,2026-05-30 00:00:00,64,complete
2026-05-31,2026-06-03 00:00:00,62,complete
2026-06-04,2026-06-07,63,complete
2026-06-08,2026-06-11 00:00:00,71,complete
2026-06-12,2026-06-15 00:00:00,68,complete
2026-06-16,2026-06-19 00:00:00,67,complete
2026-06-20,2026-06-23 00:00:00,30,complete
2026-06-24,2026-06-27 00:00:00,54,complete
2026-06-28,2026-07-01 00:00:00,18,complete
2026-07-02,2026-07-05 00:00:00,2,complete
2026-07-06,2026-07-09 00:00:00,34,complete
2026-07-10,2026-07-13 00:00:00,39,complete
2026-07-14,2026-07-17 00:00:00,54,complete
2026-07-18,2026-07-21 00:00:00,34,complete
2026-07-22,2026-07-25 00:00:00,50,complete
2026-07-26,2026-07-29 00:00:00,68,complete
2026-07-30,2026-08-02 00:00:00,35,complete
2026-08-03,2026-08-06 00:00:00,52,complete
2026-08-07,2026-08-10,31,complete
2026-08-11,2026-08-14 00:00:00,50,complete
2026-08-15,2026-08-18 00:00:00,34,complete
2026-08-19,2026-08-22 00:00:00,61,complete
2026-08-23,2026-08-26 00:00:00,36,complete
2026-08-27,2026-08-30 00:00:00,35,complete
2026-08-31,2026-08-31 00:00:00,11,complete
