repo,tag,date,prerelease
XRPLF/xrpl.js,xrpl@4.4.1,2025-09-02,False
XRPLF/rippled,2.6.1-rc1,2025-09-17,True
XRPLF/rippled,2.5.1,2025-09-17,False
XRPLF/rippled,2.6.1-rc2,2025-09-24,True
XRPLF/xrpl.js,xrpl@4.4.2,2025-09-25,False
XRPLF/rippled,2.6.1,2025-09-30,False
XRPLF/clio,2.6.0-rc1,2025-10-06,True
XRPLF/clio,2.6.0-rc2,2025-10-06,True
XRPLF/clio,2.6.0-rc3,2025-10-08,True
XRPLF/clio,2.6.0-rc4,2025-10-09,True
XRPLF/clio,2.6.0-rc5,2025-10-20,True
XRPLF/clio,2.6.0,2025-10-22,False
XRPLF/xrpl.js,xrpl@4.5.0-smartescrow.4,2025-10-29,True
XRPLF/xrpl.js,xrpl@4.5.0-smartescrow.3,2025-10-29,True
XRPLF/xrpl.js,ripple-binary-codec@2.6.0-smartescrow.3,2025-10-29,True
XRPLF/xrpl.js,ripple-binary-codec@2.5.1,2025-10-29,False
XRPLF/xrpl.js,xrpl@4.4.3,2025-11-07,False
XRPLF/clio,2.7.0-b1,2025-11-19,True
XRPLF/rippled,2.6.2,2025-11-19,False
XRPLF/clio,2.7.0-b2,2025-11-20,True
XRPLF/rippled,3.0.0,2025-12-09,False
XRPLF/clio,2.7.0-rc1,2025-12-11,True
XRPLF/xrpl.js,xrpl@4.5.0,2025-12-16,False
XRPLF/xrpl.js,ripple-binary-codec@2.6.0,2025-12-16,False
XRPLF/clio,2.7.0-rc2,2025-12-19,True
XRPLF/clio,2.7.0-rc3,2026-01-13,True
XRPLF/rippled,3.1.0-rc1,2026-01-13,True
XRPLF/clio,2.7.0,2026-01-15,False
XRPLF/rippled,3.1.0-rc2,2026-01-23,True
XRPLF/rippled,3.1.0,2026-01-28,False
XRPLF/xrpl.js,xrpl@4.6.0,2026-02-12,False
XRPLF/xrpl.js,ripple-binary-codec@2.7.0,2026-02-12,False
XRPLF/xrpl.js,xrpl@4.6.0-smartescrow.0,2026-02-12,True
XRPLF/xrpl.js,ripple-binary-codec@2.7.0-smartescrow.0,2026-02-12,True
XRPLF/rippled,3.1.1-rc1,2026-02-21,True
XRPLF/rippled,3.1.1,2026-02-23,False
XRPLF/rippled,3.1.2,2026-03-12,False
XRPLF/clio,2.8.0-b1,2026-04-23,True
XRPLF/clio,2.8.0-rc1,2026-04-28,True
XRPLF/rippled,3.1.3,2026-05-08,False
XRPLF/xrpl.js,ripple-binary-codec@2.8.0-smartcontract.0,2026-05-11,True
XRPLF/clio,2.8.0-rc2,2026-05-12,True
XRPLF/xrpl.js,xrpl@4.7.0-smartcontract.0,2026-05-12,True
XRPLF/xrpl.js,ripple-address-codec@5.0.1,2026-06-04,False
XRPLF/xrpl.js,isomorphic@1.0.2,2026-06-04,False
XRPLF/xrpl.js,ripple-binary-codec@2.8.0,2026-06-05,False
XRPLF/xrpl.js,ripple-keypairs@3.0.0,2026-06-05,False
XRPLF/xrpl.js,secret-numbers@3.0.0,2026-06-05,False
XRPLF/clio,2.7.1-rc1,2026-06-05,True
XRPLF/xrpl.js,xrpl@5.0.0,2026-06-05,False
XRPLF/clio,2.7.1-rc2,2026-06-09,True
XRPLF/clio,2.7.1-rc3,2026-06-16,True
XRPLF/rippled,3.2.0,2026-06-16,False
XRPLF/xrpl.js,xrpl@5.1.0-batch.1,2026-06-17,True
XRPLF/xrpl.js,ripple-binary-codec@2.9.0-batch.1,2026-06-17,True
XRPLF/clio,2.7.1-rc5,2026-07-08,True
XRPLF/clio,2.7.1,2026-07-20,False
XRPLF/clio,2.8.0-rc3,2026-07-22,True
XRPLF/clio,2.8.0-rc4,2026-07-30,True
XRPLF/rippled,3.2.1,2026-08-01,False
XRPLF/xrpl.js,xrpl@5.1.0-smartescrow.0,2026-08-04,True
XRPLF/xrpl.js,ripple-binary-codec@2.9.0-smartescrow.0,2026-08-04,True
XRPLF/rippled,3.3.0,2026-08-06,False
XRPLF/xrpl.js,ripple-binary-codec@2.9.0-smartescrow.1,2026-08-10,True
XRPLF/xrpl.js,xrpl@5.1.0-smartescrow.1,2026-08-12,True
XRPLF/clio,2.8.0-rc5,2026-08-12,True
XRPLF/xrpl.js,ripple-binary-codec@2.9.0,2026-08-13,False
XRPLF/clio,2.8.0,2026-08-20,False
XRPLF/xrpl.js,mpt-crypto@0.1.1,2026-08-24,False
XRPLF/xrpl.js,ripple-binary-codec@2.10.0,2026-08-24,False
XRPLF/xrpl.js,xrpl@5.1.0,2026-08-25,False
XRPLF/clio,2.8.1-rc1,2026-08-25,True
XRPLF/clio,2.8.1-rc3,2026-08-27,True
XRPLF/clio,2.8.1-rc2,2026-08-27,True
