active_addresses,addresses_with_balance,ledger_count,mvrv,market_cap_usd,fees_native,reference_price_usd,tx_count,transfer_count,reported_volume_usd,date
52735,6945734,22252,1.7989282106968931,274772304865.72067,651.893396,2.74811486952549,1770983,419230,4696575471.50292,2025-09-01
47510,6949306,22304,1.8669086279124736,285786697978.08105,675.408984,2.85827452630355,1728778,390301,4314576070.3449,2025-09-02
46883,6953231,22321,1.8594556265149549,284449988867.0467,609.637409,2.84490554632338,1578017,363061,2381681046.56766,2025-09-03
43796,6956638,22332,1.8364294338408016,280279821014.2148,580.747903,2.80319793694886,1573625,363122,2642889583.30768,2025-09-04
45896,6960527,22294,1.8472854677851829,281784788757.178,662.862323,2.81824977940284,1869117,469684,3726724334.32357,2025-09-05
53349,6963688,22307,1.842707615908922,281031686855.2074,382.759425,2.81071769704132,1626048,392436,947765947.672011,2025-09-06
43914,6967389,22319,1.8869658180312527,288294038223.29694,440.089528,2.88335158152407,1494949,324114,1997084298.463,2025-09-07
47765,6971551,22275,1.9328096163932205,296840916603.767,579.409775,2.96883257310875,1745252,418742,3422469188.98851,2025-09-08
47883,6975507,22276,1.917214817247911,294423501576.1556,667.903926,2.94465499435759,1598282,393486,3463034644.15127,2025-09-09
50971,6979577,22292,1.9388077388030232,298248501686.83844,676.397148,2.98291047179154,1784207,464676,2355070958.24043,2025-09-10
45018,6983247,22318,1.97146065366788,304194972903.9216,592.663846,3.04238368470574,1624513,403011,3010527440.85706,2025-09-11
47188,6987249,22286,2.004830669523234,310591570194.24115,546.419676,3.10635879978404,1894821,462844,3500316250.24952,2025-09-12
45597,6991137,22327,2.009801612081554,312231585703.0222,422.398848,3.12276130775212,1726571,411451,3178231711.02017,2025-09-13
44409,6995462,22288,1.957837701360484,303182569255.1942,353.644653,3.0322582440592,1684548,390074,2721374060.04647,2025-09-14
45856,6999550,22303,1.9363993392961647,299498226377.3307,576.071072,2.99540957607536,1742327,383460,3550343240.25842,2025-09-15
48699,7004005,22273,1.9611278104362495,303974699496.11566,607.529353,3.0401807125918,1648566,364392,2715311063.69551,2025-09-16
50553,7007495,22291,1.9841470411862292,308199938653.8736,755.243798,3.08243915611462,1498067,338936,3654195512.88803,2025-09-17
47351,7011940,22300,1.97954853534992,307485456940.0715,532.779608,3.07529333587164,1686110,414215,3650858534.44843,2025-09-18
46953,7015965,22337,1.930225978550392,298771859057.7266,549.816498,2.98814493960857,1675911,325850,2834472227.58445,2025-09-19
52968,7019788,22350,1.9231738726633465,297581109518.5782,396.741824,2.97623575682082,1634673,325625,1607452226.4044,2025-09-20
47586,7024210,22341,1.9218426796363723,297414631903.12616,388.548831,2.97457075465456,1726620,317539,1570140700.03203,2025-09-21
54119,7028187,22289,1.8298890469526623,284984893276.7328,758.022821,2.85025565171982,2069859,421993,5928248762.39392,2025-09-22
47484,7032102,22337,1.8171626774670295,282761066028.1542,611.241261,2.82801422276588,1855410,367223,2988574248.49639,2025-09-23
48970,7036750,22333,1.8762040526175567,292929651805.6851,648.673402,2.92971461236565,1824789,388374,3471793706.63539,2025-09-24
54491,7041417,22333,1.7747385809843264,274499524318.4784,854.063143,2.7453870558865,1861668,394407,5329657217.77186,2025-09-25
58156,7045569,22323,1.797562793564054,278474346466.90356,749.026688,2.78514097178164,1803195,367667,4620785313.12484,2025-09-26
46702,7049234,22345,1.811864257741988,280939324001.40643,443.753376,2.80979427821951,1630165,352262,1555352885.90829,2025-09-27
43906,7053120,22323,1.8444270061139925,286437739302.1652,431.899838,2.86478629253727,1854350,416429,1743281135.82036,2025-09-28
47662,7057461,22309,1.8522255184758991,288397233378.23724,585.128112,2.8843840474215,1859300,442206,2876624229.41141,2025-09-29
46611,7061709,22326,1.8232477397402476,284232882694.9692,800.836926,2.84273461836321,1783532,420734,2865014506.33628,2025-09-30
49976,7066212,22320,1.878620952376029,294379400477.22894,657.989224,2.94421430146357,1868295,520520,3499990600.90568,2025-10-01
55717,7070991,22299,1.9017897395086996,303673520570.5575,787.313423,3.03716879588184,1965173,537060,4184669271.35396,2025-10-02
54255,7075782,22324,1.9019687201272708,304411138623.2236,597.439191,3.04454604778391,1900127,585334,3929483097.9323,2025-10-03
